Name,Variety,Status,Category,Link,Green house?,Sprouting time (days),Sun,Height,Seed distance,Seed depth,Start seeding,End seeding,Start planting,End planting,Start harvest,End Harvest,Seeds per bag,Total bags,Total seeds,Inventory last updated,Notes,
Basil,Genovese,,Herb,https://fantastiskefroe.dk/products/basilikum-genovese,No,8,Full Sun,30cm,20cm,0.5cm,3/1/2023,6/1/2023,6/1/2023,7/1/2023,7/1/2023,10/15/2023,400,1,390,3/10/2023,,
Bell Pepper,Maor,,Vegetable,https://fantastiskefroe.dk/products/peberfrugt-maor,No,7-28,Full Sun,80cm,40-50cm,0.5cm,1/1/2023,4/15/2023,6/1/2023,8/1/2023,6/1/2023,11/1/2023,10,1,10,3/10/2023,,
Bell Pepper,Afrodita,Out of Stock,Vegetable,https://fantastiskefroe.dk/products/peberfrugt-afrodita,No,14-28,Full Sun,80cm,50cm,1cm,2/1/2023,4/1/2023,5/15/2023,6/15/2023,7/15/2023,10/1/2023,30,1,0,3/10/2023,Very short growing time. Plant after night temperature stays above 8deg celcius,
Brocolli,Rasmus,,Vegetable,https://fantastiskefroe.dk/products/broccoli-rasmus,No,14,Full Sun / Half Shade,60cm,50cm,2cm,5/1/2023,7/15/2023,6/1/2023,8/15/2023,8/15/2023,10/15/2023,50,1,50,3/10/2023,,
Brussels Sprouts,Groniger,,Vegetable,https://fantastiskefroe.dk/products/rosenkal-groninger,No,14,Full Sun,50cm,40-60cm,2cm,3/15/2023,5/15/2023,5/15/2023,7/15/2023,10/1/2023,3/1/2024,50,1,50,3/10/2023,,
Carrots,Dolciva,,Vegetable,https://fantastiskefroe.dk/products/gulerod-dolciva,No,14,Full Sun / Half Shade,30cm,3cm,1cm,-,-,3/1/2023,7/1/2023,6/1/2023,10/1/2023,500,1,500,3/10/2023,,
Chili,Jalapeño,Seeded,Vegetable,https://fantastiskefroe.dk/products/chili-jalapeno,Yes,7-28,Full Sun,80cm,40-50cm,0.5cm,1/1/2023,4/15/2023,5/1/2023,7/1/2023,7/1/2023,11/1/2023,10,1,5,3/10/2023,,
Chives,Naomy,,Herb,,No,,,,,,-,-,4/15/2023,6/15/2023,5/1/2023,6/15/2023,100,1,100,3/10/2023,,
Coriander,?,,Herb,,No,,,,10-15cm,1cm,-,-,4/15/2023,6/15/2023,5/1/2023,6/15/2023,100,1,100,3/10/2023,,
Corn,Glasmajs,,Decoration,https://fantastiskefroe.dk/products/majs-glasmajs,No,7-14,Full Sun,200cm,20-30cm,2cm,4/1/2023,5/15/2023,5/15/2023,7/1/2023,8/1/2023,10/15/2023,60,1,60,3/10/2023,"Needs cross pollination, planting in square is ideal",
